placename,y,x,count,,refs
Punjab,30.85,72.31667,2,1167710,the Punjab
Sri Lanka,7.75,80.75,1,1227603,Ceylon
India,22,79,1,1269750,Hindostan
Bārākpur ,22.76602,88.36336,2,1277100,Barrackpore
Calcutta,22.56263,88.36304,1,1275004,Calcutta
Dinapore,25.63705,85.04794,1,1273581,Dinapore
Vellore,12.9184,79.13255,1,1253286,Vellore ref to violent mutiny 50 yrs prior
Afghanistan,33,66,1,1149361,Affghanistan
Sindh,26.13333,68.76667,1,1164807,Scinde ref to recently annexed area
Bago,17.33521,96.48135,1,1300466,Pegu ref to recently annexed area
Awadh,26.15059,81.87252,1,10591320,Oude ref to recently annexed area
China,35,105,1,1814991,reference to span of British empire
